"統一編號","公司名稱","公司地址","公司狀態"
"14057995","東聯化學股份有限公司","臺北市松山區復興北路101號13樓","01"
"24802992","焱元投資股份有限公司","臺北市大安區敦化南路2段77號15樓","01"
"05155853","研華股份有限公司","臺北市內湖區瑞光路26巷20弄1號","01"
"12341051","康舒科技股份有限公司","臺北市松山區南京東路五段99號11樓","01"
"27227466","運鴻投資股份有限公司","高雄市前鎮區成功二路88號26樓","01"
"39054405","李長榮化學工業股份有限公司","高雄市小港區中林路3號","01"
"53663724","鑽石生技投資股份有限公司","臺北市中正區忠孝西路一段66號35樓","01"
"47067419","裕民航運股份有限公司","臺北市大安區敦化南路2段207號2樓","01"
"22178368","微星科技股份有限公司","新北市中和區立德街69號","01"
"96971313","中鋼鋁業股份有限公司","高雄市小港區東林路17號","01"
"11059409","大華建設股份有限公司","臺北市內湖區成功路5段460號16樓","01"
"23116897","德勤投資股份有限公司","臺北市大安區敦化南路二段207號31樓","01"
"11520909","南港輪胎股份有限公司","臺北市大安區仁愛路3段136號6樓608室","01"
"16003518","宏達國際電子股份有限公司","桃園市桃園區興華路23號","01"
"89283591","安聯人壽保險股份有限公司","臺北市信義區信義路五段100號5樓","01"
"24482029","朝隆投資股份有限公司","臺北市士林區福林路203號","01"
"21257316","太平洋崇光百貨股份有限公司","臺北市大安區忠孝東路4段45號地下1樓至地下3樓、1樓至13樓","01"
"73735839","伊頓飛瑞慕品股份有限公司","臺南市關廟區埤頭里保東路269之1號","01"
"03553737","台橡股份有限公司","高雄市大社區興工路2號","01"
"03353007","益航股份有限公司","臺北市大安區復興南路2段237號14樓","01"
"28993629","欣陸投資控股股份有限公司","臺北市大安區敦化南路二段95號23樓","01"
"54719248","樺成國際投資股份有限公司","新北市中和區建康路10號6樓","01"
"03516001","台元紡織股份有限公司","臺北市大安區敦化南路二段2號8樓","01"
"47006693","奇力新電子股份有限公司","桃園市平鎮區南豐路270號","01"
"86687839","信宇投資股份有限公司","臺北市信義區基隆路1段200號23樓","01"
"20817282","中鼎工程股份有限公司","臺北市士林區中山北路六段89號","01"
"83715208","中合電業股份有限公司","臺北市內湖區瑞光路362號8樓","01"
"70750217","精金科技股份有限公司","臺南市善化區北園一路7號","01"
"70377128","太平洋流通投資股份有限公司","臺北市大安區仁愛路4段64號7樓","01"
"11081991","中央再保險股份有限公司","臺北市中山區南京東路二段53號11、12樓","01"
"83271725","統流開發股份有限公司","臺南市永康區自強路340號1樓","01"
"51559801","星耀能源股份有限公司","新竹縣湖口鄉光復北路20-1號4樓","01"
